Maakoodi;Jan-11;Feb-11;Mar-11;Apr-11;May-11;Jun-11;Jul-11;Aug-11;Sep-11;Oct-11;Nov-11;Dec-11;Jan-12;Feb-12;Mar-12;Apr-12;May-12;Jun-12;Jul-12;Aug-12;Sep-12;Oct-12;Nov-12;Dec-12;Jan-13;Feb-13;Mar-13;Apr-13;May-13;Jun-13;Jul-13;Aug-13;Sep-13;Oct-13;Nov-13;Dec-13;Jan-14;Feb-14;Mar-14;Apr-14;May-14;Jun-14;Jul-14;Aug-14;Sep-14;Oct-14;Nov-14;Dec-14;Jan-15;Feb-15;Mar-15;Apr-15;May-15;Jun-15;Jul-15;Aug-15;Sep-15;Oct-15;Nov-15
AFG;3;4;3;1;1;;1;5;2;2;;3;1;1;3;1;3;4;2;2;9;4;1;7;1;2;;;2;;1;4;;3;2;2;2;3;2;3;;3;7;4;7;4;2;10;5;5;14;1;4;20;43;77;188;390;
ALB;;;;;;;1;;;;;;;;;;;;;1;1;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;1;2;1;
DZA;;;;;;;1;;1;;;;;;2;;;2;;;;3;1;;;;;1;1;1;;;;;;1;;;;;;;1;2;;2;1;;4;;2;2;1;;;1;;1;
GEO;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AGO;;3;;;1;;1;;1;4;;1;1;3;;;;;3;2;1;;1;;1;2;1;;;1;1;;;;;;1;;;;;;;1;;;;;1;1;;;;;;1;1;;
ARM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;
BRA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;
BGD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;8;
EGY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;1;;;;;;;;
ERI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;1;;;;1;3;
ETH;;;;;;;;;;;;1;;;;;;;;;;;;;;;2;;1;;1;;;1;;;;;;;;;;1;;;;;;;;1;;2;;3;2;2;
GMB;1;;;;;;;;;;1;;;;;;;;;;;;;;1;;;2;;;1;;;1;;;;;;3;2;1;;;;;1;;;3;;1;1;;;;1;;
GHA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;1;;;;;1;;;;;;;;;;;;;;;
GNB;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GIN;;;;;;;;;1;1;;;1;;;;;;;;;1;;;;;;;;;;;;;1;;;;2;2;;;;;3;;;;;;1;;;;;1;;;
IRQ;6;;5;;2;2;1;3;;3;2;3;;;;;;;;;;;;;2;;3;2;1;;1;4;5;1;;5;1;3;3;;;1;2;;1;1;2;1;2;3;3;2;9;10;21;81;243;141;
IND;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IRN;;;;;;1;;;3;;;;;;;;;;;;;;;;;1;1;;1;;;;;;;1;;;;;;1;;;;;;;;;;;;;;1;14;4;
YEM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;2;
CMR;;1;;;1;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;1;;1;;;;;;
KEN;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1;;
CHN;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;
COD;;;;1;;1;;3;1;;;;;;1;1;;;;;2;3;;1;;;1;;;;1;;;2;;;;;;4;2;;;;1;2;2;;;;;;;;;1;;;
COG;1;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KGZ;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
XKX ;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1;;;;;;
